step procs value time
1e-05 1 3.141591237661522 2.985001564025879
1e-05 2 3.1415968 2.253189609999936
1e-05 3 3.1415954 1.7042366440000478
1e-05 4 3.1415968 1.3566522589999295
1e-05 5 3.1415954 1.015823945000193
1e-05 6 3.1415992 0.8244542909997108
1e-05 7 3.1415997 0.8356172289995811
1e-05 8 3.1415963 0.7604647190000833
